S/SP,Sex,Group,Group size,Bee ID,Colony ,Microbiome,Date of eclosion,Date 1st treatment ,Flight date,Age at flight (days),Mill ,Intertegular distance (mm) ,Weight,Sucrose consumed,Circuits ,Distance (m),Mean Speed,Flight Time (s),Flight Time (mins)
SP,M,13AF3,3,C13C12,13,C,NA,05/08/2019,10/08/2019,NA,4,5.068,0.288,0,1529,1296.59,0.452887309,2862.946198,47.7158
SP,M,13AF3,3,C13C13,13,C,NA,05/08/2019,10/08/2019,NA,5,5.091,0.377,0.0039,2880,2442.24,0.586597106,4163.402742,69.3900
SP,M,16W3,3,C16C7 ,16,C,NA,09/08/2019,10/08/2019,NA,3,5.717,0.446,0.0064,365,309.52,0.606690861,510.1774559,8.5030
SP,M,15V2,2,C15C6,15,C,NA,09/08/2019,10/08/2019,NA,4,5.329,0.288,0,2531,2146.29,0.700335771,3064.655683,51.0776
SP,M,13AE2,2,C13C10 ,13,C,NA,09/08/2019,10/08/2019,NA,5,5.53,0.245,0,1860,1577.28,0.636560621,2477.815857,41.2969
SP,M,13AE2,2,C13C11,13,C,NA,09/08/2019,10/08/2019,NA,6,5.172,0.287,0,5581,4732.69,0.675536654,7005.819704,116.7637
SP,M,14Y3,3,C14C13,14,C,NA,05/08/2019,10/08/2019,NA,1,5.283,0.337,0.0032,0,0.00,0,0,0.0000
SP,F,13AF3,3,C13C14,13,C,NA,05/08/2019,10/08/2019,NA,6,5.034,0.261,0.0063,0,0.00,0,0,0.0000
SP,M,12X3,3,C12C3,12,C,NA,09/08/2019,10/08/2019,NA,1,4.766,0.205,0.0025,33,27.98,0.957342951,29.2309041,0.4872
SP,M,12X3,3,C12C4,12,C,NA,09/08/2019,10/08/2019,NA,2,4.827,0.22,0,0,0.00,0,0,0.0000
